卡款序號,卡款
1,13608
2,9945
3,10060
4,12534
5,8820
6,12311
7,11428
8,9602
9,3669
10,2631
11,12793
12,13151
13,3004
14,13844
15,8281
16,8093
17,17664
18,13159
19,8573
20,15387
21,14706
22,14482
23,6935
24,7846
25,7330
26,6399
27,911
28,6362
29,14435
30,17374
31,5352
32,13958
33,8276
34,11472
35,9442
36,1392
37,4921
38,12084
39,2656
40,5662
41,7075
42,10512
43,6514
44,2755
45,8324
46,12408
47,10742
48,10424
49,1777
50,11006
51,7530
52,5420
53,10340
54,12378
55,10301
56,7136
57,5038
58,16148
59,4777
60,8911
61,11776
62,9392
63,14625
64,13468
65,5155
66,16551
67,12291
68,18578
69,9376
70,13195
